name,category,address,roadAddress,district,latitude,longitude
유림 뭉티기,호프/통닭,대구광역시 달서구 성당동 828-14,"대구광역시 달서구 대명천로 61, 1층 (성당동)",달서구,35.838179,128.552597
유림정,한식,대구광역시 달서구 대곡동 1114-9,"대구광역시 달서구 한실로6길 120-11, 1층 (대곡동)",달서구,35.796470,128.528423
유미게장,한식,대구광역시 달서구 진천동 843 진천역 라온프라이빗 센텀,"대구광역시 달서구 진천로16길 26, 상가동 1층 105호 (진천동, 진천역 라온프라이빗 센텀)",달서구,35.815223,128.525582
유미정원,한식,대구광역시 달서구 도원동 1117,"대구광역시 달서구 수밭길 48, 주건축물제1동 1~2층 (도원동)",달서구,35.796020,128.548047
유별난국밥,한식,대구광역시 달서구 진천동 465-3 (지상1층),"대구광역시 달서구 상화로15길 9 (진천동,(지상1층))",달서구,35.808351,128.522470
유성숯불,식육(숯불구이),대구광역시 달서구 이곡동 1000-0299,대구광역시 달서구 달구벌대로260길 38 (이곡동),달서구,35.849528,128.508695
유성식당,식육(숯불구이),대구광역시 달서구 용산동 867 (지상1층),"대구광역시 달서구 달구벌대로301길 156 (용산동,(지상1층))",달서구,35.856708,128.531609
유쉘,경양식,대구광역시 달서구 두류동 산 0302-0011,대구광역시 달서구 두류공원로 200 (두류동),달서구,35.853262,128.565006
유여사추어탕,한식,대구광역시 달서구 파호동 82-13,"대구광역시 달서구 호산로29길 19, 1층 (파호동)",달서구,35.852378,128.476495
유원지막창 상인점,한식,대구광역시 달서구 상인동 1403-13 (지상1층),"대구광역시 달서구 월배로46길 45 (상인동,(지상1층))",달서구,35.816688,128.537910
유이쯔,일식,대구광역시 달서구 호산동 352-16,"대구광역시 달서구 호산동로35북길 42, 1층 (호산동)",달서구,35.851782,128.484387
유정,호프/통닭,대구광역시 달서구 파호동 82-37,대구광역시 달서구 호산로27길 12 (파호동),달서구,35.851949,128.476693
