quarter,emp_yoy,prod_yoy,firms_yoy,excess,cluster
2024Q4,0.0031822810590631523,-0.026516066372386238,0.013961605584642323,-0.001810684655548395,검단산단
2025Q1,0.0006355662895640712,-0.04126590294467258,0.012195121951219523,0.002552762838063511,검단산단
2025Q2,0.0008894536213468474,-0.039371371124925614,0.008665511265164572,0.0016053578008200621,검단산단
2018Q2,,,,-0.004854000854777,달성1차
2018Q3,,,,-0.0007812288500002773,달성1차
2018Q4,,,,-0.0026668637868379795,달성1차
2019Q1,,,,-0.003173248979904379,달성1차
2019Q2,-0.015417685864650532,-0.47602904051320183,-0.047222222222222276,0.000153295099247705,달성1차
2019Q3,0.11190317071359623,0.08855888231569087,-0.011173184357541888,-0.005238015262569999,달성1차
2019Q4,0.13011684885035812,0.12194845836578128,0.04956268221574334,-0.003009942735240491,달성1차
2020Q1,0.035910562372957866,0.07323235815880325,-0.008746355685131157,-0.00631728994419564,달성1차
2020Q2,0.0237898065196116,-0.269301873107213,-0.017492711370262426,-0.009460617341673045,달성1차
2020Q3,-0.11025778015226395,-0.2694068258899983,-0.07627118644067798,-0.007338701875219782,달성1차
2020Q4,-0.1046627976786072,-0.21155708715438604,-0.10555555555555551,0.0007762560350040816,달성1차
2021Q1,-0.031613372093023284,-0.19047247614015506,0.0117647058823529,0.0021342537367436422,달성1차
2021Q2,-0.025001838370468432,0.26021098467670156,0.011869436201780381,0.005616843919897694,달성1차
2021Q3,-0.024994370637243857,0.3833304477052042,-0.024464831804281384,0.010165587501805465,달성1차
2021Q4,-0.02898226791834302,0.2515145241068546,-0.0031055900621117516,0.005258759272800271,달성1차
2022Q1,-0.027692307692307683,0.24330508630787295,-0.061046511627906974,0.007038687779466507,달성1차
2022Q2,-0.01674334414360057,0.16713491639819766,-0.061583577712609916,0.008783800853307051,달성1차
2022Q3,0.0052347959969207825,0.02490945453692084,-0.0031347962382445305,0.0029670037280430514,달성1차
2022Q4,0.009207396608608809,0.041979544635954325,-0.012461059190031154,-0.003580083217683336,달성1차
2023Q1,0.011963569002778618,0.08355375370558926,-0.015479876160990669,-0.005598263047679345,달성1차
2023Q2,0.006826723939556745,0.025743918251992737,-0.009375000000000022,-0.010149801134622535,달성1차
2023Q3,0.0042885587379384305,0.005542382626659403,-0.0062893081761006275,-0.01023493914228949,달성1차
2023Q4,0.015053599939177431,-0.00824417613245687,-0.01577287066246058,-0.009718052656086943,달성1차
2024Q1,0.01639844405461055,-0.01937442354684049,-0.022012578616352196,-0.011784481976925963,달성1차
2024Q2,0.003504494895627097,0.00477521800925107,-0.02208201892744477,-0.013446238440380938,달성1차
2024Q3,0.002897666615830463,-0.009215275256457822,-0.025316455696202556,-0.015192053971045116,달성1차
2024Q4,-0.01490525054303049,0.0065410022771865695,-0.012820512820512775,-0.017923882798900368,달성1차
2025Q1,-0.024238331082095166,0.02927494116027929,-0.06430868167202575,-0.014679819136098397,달성1차
2025Q2,-0.013133920437291224,0.018970371363453475,-0.06129032258064515,-0.012559559686872713,달성1차
2018Q2,,,,0.0018651215707132167,달성2차·국가산단
2018Q3,,,,0.006113602196835679,달성2차·국가산단
2018Q4,,,,0.006428139325355402,달성2차·국가산단
2019Q1,,,,-0.00010250393055819939,달성2차·국가산단
2019Q2,-0.03067075610081349,-0.4697938824910145,0.13651877133105805,0.0031196669688303143,달성2차·국가산단
